book;chapter;verse;text
james;4;17;ειδοτι ουν καλον ποιειν και μη ποιουντι αμαρτια αυτω εστιν
james;5;1;αγε νυν οι πλουσιοι κλαυσατε ολολυζοντες επι ταις ταλαιπωριαις υμων ταις επερχομεναις
james;5;2;ο πλουτος υμων σεσηπεν και τα ιματια υμων σητοβρωτα γεγονεν
james;5;3;ο χρυσος υμων και ο αργυρος κατιωται και ο ιος αυτων εις μαρτυριον υμιν εσται και φαγεται τας σαρκας υμων ως πυρ εθησαυρισατε εν εσχαταις ημεραις
james;5;4;ιδου ο μισθος των εργατων των αμησαντων τας χωρας υμων ο απεστερημενος αφ υμων κραζει και αι βοαι των θερισαντων εις τα ωτα κυριου σαβαωθ εισεληλυθασιν
james;5;5;ετρυφησατε επι της γης και εσπαταλησατε εθρεψατε τας καρδιας υμων ως εν ημερα σφαγης
james;5;6;κατεδικασατε εφονευσατε τον δικαιον ουκ αντιτασσεται υμιν
james;5;7;μακροθυμησατε ουν αδελφοι εως της παρουσιας του κυριου ιδου ο γεωργος εκδεχεται τον τιμιον καρπον της γης μακροθυμων επ αυτω εως αν λαβη υετον πρωιμον και οψιμον
james;5;8;μακροθυμησατε και υμεις στηριξατε τας καρδιας υμων οτι η παρουσια του κυριου ηγγικεν
james;5;9;μη στεναζετε κατ αλληλων αδελφοι ινα μη κατακριθητε ιδου κριτης προ των θυρων εστηκεν
james;5;10;υποδειγμα λαβετε της κακοπαθειας αδελφοι μου και της μακροθυμιας τους προφητας οι ελαλησαν τω ονοματι κυριου
james;5;11;ιδου μακαριζομεν τους υπομενοντας την υπομονην ιωβ ηκουσατε και το τελος κυριου ειδετε οτι πολυσπλαγχνος εστιν ο κυριος και οικτιρμων
james;5;12;προ παντων δε αδελφοι μου μη ομνυετε μητε τον ουρανον μητε την γην μητε αλλον τινα ορκον ητω δε υμων το ναι ναι και το ου ου ινα μη πεσητε
james;5;13;κακοπαθει τις εν υμιν προσευχεσθω ευθυμει τις ψαλλετω
james;5;14;ασθενει τις εν υμιν προσκαλεσασθω τους πρεσβυτερους της εκκλησιας και προσευξασθωσαν επ αυτον αλειψαντες αυτον ελαιω εν τω ονοματι του κυριου
james;5;15;και η ευχη της πιστεως σωσει τον καμνοντα και εγερει αυτον ο κυριος καν αμαρτιας η πεποιηκως αφεθησεται αυτω
james;5;16;εξομολογεισθε αλληλοις τα παραπτωματα και ευχεσθε υπερ αλληλων οπως ιαθητε πολυ ισχυει δεησις δικαιου ενεργουμενη
james;5;17;ηλιας ανθρωπος ην ομοιοπαθης ημιν και προσευχη προσηυξατο του μη βρεξαι και ουκ εβρεξεν επι της γης ενιαυτους τρεις και μηνας εξ
james;5;18;και παλιν προσηυξατο και ο ουρανος υετον εδωκεν και η γη εβλαστησεν τον καρπον αυτης
james;5;19;αδελφοι εαν τις εν υμιν πλανηθη απο της αληθειας και επιστρεψη τις αυτον
james;5;20;γινωσκετω οτι ο επιστρεψας αμαρτωλον εκ πλανης οδου αυτου σωσει ψυχην εκ θανατου και καλυψει πληθος αμαρτιων
